Name,Exact Matches #,Mean MSE,Max MSE,Min MSE,Mean MAE,Max MAE,Min MAE,Mean Correct R #,Mean Detected R #,Mean TP,Mean FP,Mean Performance,Mean Acc,Mean Err,Mean mean_deviation,Mean std_deviation,Mean mean_ref_ibi,Max mean_ref_ibi,Min mean_ref_ibi,Mean std_ref_ibi,Max std_ref_ibi,Min std_ref_ibi,Mean mean_test_ibi,Max mean_test_ibi,Min mean_test_ibi,Mean std_test_ibi,Max std_test_ibi,Min std_test_ibi
elgendi2010+hamilton2002+Kubios,9242,415.2201666300566,33274.22222222222,0.6153846153846154,10.526652720328544,157.55555555555554,0.4,12.158800055043347,12.696114857116646,1.5780010091280217,7.304848401449475,0.12700070966366275,0.2628266969706664,0.7371733030293336,0.02337521584848809,0.0038550219533298137,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.8761509695406072,1.49,0.32,0.06854042552902447,0.7000357133746821,0.0
elgendi2010+hamilton2002,9045,411.778136451833,33274.22222222222,0.6153846153846154,10.436741674853854,157.55555555555554,0.4,12.158800055043347,12.711618733085638,1.5024998853263611,7.577588184028255,0.12137830616057242,0.2495597768242226,0.7504402231757773,0.02309354327422316,0.0032363544127650156,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.894756165829434,1.49,0.32,0.0774538815764102,0.7000357133746821,0.0
elgendi2010+kalidas2017+Kubios,11939,908.715721611779,71219.3,0.0,12.241782315627441,227.3,0.0,12.158800055043347,12.141415531397643,11.208522544837393,0.4680519242236595,0.9207989787083697,0.9560519169205368,0.04394808307946321,0.015606395507022815,0.004519874204164238,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.848134528780851,1.49,0.3148275862068966,0.04692179432014672,0.6505382386916236,0.0
elgendi2010+kalidas2017,11752,922.6865373838782,71219.3,0.0,12.312331737758562,227.3,0.0,12.158800055043347,12.146598779872482,11.336498325764873,0.44585110774735104,0.9316104498535034,0.9585043203648335,0.041495679635166524,0.01562923887196734,0.00435896008250184,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.8480201180946824,1.4866666666666666,0.3148275862068966,0.04815305890093887,0.5373081052803876,0.0
elgendi2010+koka2022+Kubios,11963,876.9873415372631,23747.0,0.0,11.699955494189672,146.0,0.0,12.158800055043347,12.340122012751708,9.978487225356636,0.8662446676757947,0.8341955580540769,0.915458002795396,0.08454199720460406,0.0064288027876484724,0.005248442438685759,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.8731546601778002,1.49,0.34,0.06731750858216366,0.6717514421272202,0.0
elgendi2010+koka2022,11772,884.6798291272995,23747.0,0.0,11.711831527120788,147.33333333333334,0.0,12.158800055043347,12.348011559102794,10.047933581028394,0.8514747029952755,0.8407044953469952,0.9172558286982284,0.08274417130177165,0.006191377594262881,0.004885477691584529,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.8750107044769269,1.49,0.33,0.0706253482568424,0.67175144212722,0.0
elgendi2010+martinez2004+Kubios,7805,295.06318447546056,20623.555555555555,1.0,9.860781687920468,136.42857142857142,0.4545454545454545,12.158800055043347,8.776294665382322,0.30585752947112516,7.568001467822577,0.027882536454052753,0.09321788038526647,0.8424272735067568,0.008682287883984927,0.0011081585176630612,0.7955901089481107,1.49,0.0,0.04284595130471555,0.5263184502856718,0.0,0.3195892470999967,1.49,0.0,0.01240781529732315,0.5303300858899106,0.0
elgendi2010+martinez2004,6653,403.7904635590689,20623.555555555555,0.8,10.949805506429668,136.42857142857142,0.4545454545454545,12.158800055043347,8.72813173707628,0.2963166827209761,7.586303380578872,0.027245112688559364,0.09015168202590797,0.8454934718661152,0.00749299891158512,0.0009810084179305131,0.7955901089481107,1.49,0.0,0.04284595130471555,0.5263184502856718,0.0,0.31458459543400935,1.49,0.0,0.013105790622053786,0.5374011537017762,0.0
elgendi2010+nabian2018+Kubios,7479,893.7613446357184,18683.42857142857,0.0,13.754904667162629,135.0,0.0,12.158800055043347,11.307371221503601,2.50575661666896,6.923076923076923,0.20761968009272558,0.33446976707910503,0.6655302329208951,0.013184843097549614,0.004028892885581106,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.8875467592482613,1.49,0.39,0.0710257246724221,0.7000357133746821,0.0
elgendi2010+nabian2018,7431,1002.1105587233616,18683.42857142857,0.0,14.76327589278493,135.0,0.0,12.158800055043347,11.316178156965277,2.4302096234117703,7.095683684234668,0.20155075437984601,0.32475637609181096,0.675243623908189,0.010978922871853123,0.002659307447472252,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.8918125250187596,1.49,0.39,0.07884414728188675,0.7000357133746821,0.0
elgendi2010+Neurokit+Kubios,14414,701.6094605106886,22072.166666666668,0.0,11.681040518825984,148.5,0.0,12.158800055043347,11.98114765377735,4.6806109811476535,4.903811751754507,0.38574014540610985,0.536028322591595,0.46397167740840484,0.008910815896531225,0.004885757364206152,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.8788665923571108,1.49,0.3148275862068966,0.07240803220941451,0.7566042558696058,0.0
elgendi2010+Neurokit,14230,732.9695867146477,22227.666666666668,0.0,11.929747715885318,149.0,0.0,12.158800055043347,11.990734369983029,4.631484794275492,4.971148112471905,0.38190158237217176,0.5307776867680015,0.4692223132319984,0.0072915681563330845,0.003506746192019832,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.8816118090953089,1.49,0.3260714285714286,0.07856660357542349,0.7566042558696058,0.0
elgendi2010+pantompkins1985+Kubios,9857,694.3838818437912,21042.714285714286,1.3,14.291051924200483,145.0,1.1,12.158800055043347,12.398146873996605,1.441860465116279,6.50896747855603,0.11768190354070195,0.29721785771680764,0.7027821422831924,0.02004824289827693,0.0034868118053986543,0.8452793068312856,1.49,0.31,0.04579628973640886,0.5263184502856718,0.0,0.9012716311231677,1.49,0.31,0.057975865299971174,0.8131727983645296,0.0
