Name,Exact Matches #,Mean MSE,Max MSE,Min MSE,Mean MAE,Max MAE,Min MAE,Mean Correct R #,Mean Detected R #,Mean TP,Mean FP,Mean Performance,Mean Acc,Mean Err,Mean mean_deviation,Mean std_deviation,Mean mean_ref_ibi,Max mean_ref_ibi,Min mean_ref_ibi,Mean std_ref_ibi,Max std_ref_ibi,Min std_ref_ibi,Mean mean_test_ibi,Max mean_test_ibi,Min mean_test_ibi,Mean std_test_ibi,Max std_test_ibi,Min std_test_ibi
hamilton2002+christov2004+Kubios,4435,1144.1064219317057,31155.7,0.2142857142857142,14.100817500262867,152.9,0.2142857142857142,11.534832451499119,11.762125220458554,10.71494708994709,0.7563932980599647,0.9266345429084848,0.9332960199949235,0.06670398000507638,0.01157696882614877,0.006401964864519555,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.8802753965660517,1.48,0.3952173913043479,0.037106627110658624,0.5374011537017761,0.0
hamilton2002+christov2004,4260,1188.4430563556855,31155.7,0.2142857142857142,14.486710661097208,152.9,0.2142857142857142,11.534832451499119,11.803902116402117,10.798941798941799,0.7494488536155203,0.9345123748414249,0.9345371515647493,0.06546284843525083,0.01154289941015893,0.006288640148245836,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.8803633052626016,1.48,0.3952173913043478,0.03770991439642146,0.4366157731156003,0.0
hamilton2002+elgendi2010+Kubios,6252,622.0305933201395,15804.142857142857,0.0,7.81558343895999,125.57142857142856,0.0,11.534832451499119,11.779320987654321,10.726190476190476,0.4091710758377425,0.9289069116299914,0.9613367789829164,0.03866322101708361,0.004367586901710012,0.004563781606839282,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.8828214487444996,1.49,0.395,0.03716190187597518,0.4525483399593903,0.0
hamilton2002+elgendi2010,6176,630.7884470649892,15804.142857142857,0.0,7.851706274239239,125.57142857142856,0.0,11.534832451499119,11.787918871252204,10.790343915343914,0.40828924162257496,0.9349931577904214,0.9616273949559165,0.03837260504408358,0.0042233295415570965,0.004338817743593313,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.8833936411957766,1.49,0.395,0.038144790127002934,0.4879036790187177,0.0
hamilton2002+hamilton2002+Kubios,3692,358.3186948534679,12207.888888888889,6.8,9.654202996556508,109.22222222222224,1.6,11.534832451499119,12.260692239858907,1.728505291005291,6.582120811287478,0.14684499802879158,0.2859957830790371,0.7140042169209629,0.023164965773836515,0.0035222930513524476,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.9081174932609078,1.49,0.44,0.05654479460015903,0.6505382386916236,0.0
hamilton2002+hamilton2002,3534,361.8224956523265,12207.888888888889,6.8,9.63906797882744,109.22222222222224,1.6,11.534832451499119,12.29673721340388,1.6631393298059964,6.7842813051146384,0.14176271708738608,0.2742892183978688,0.7257107816021312,0.02279116056133146,0.0030204099875047363,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.9294259630363558,1.49,0.45,0.06198796988562914,0.6505382386916236,0.0
hamilton2002+kalidas2017+Kubios,5057,962.562221597846,21482.166666666668,0.0,12.770534091987358,146.5,0.0,11.534832451499119,11.62202380952381,10.739748677248677,0.5034171075837742,0.9284673123368566,0.952823420527006,0.04717657947299401,0.016067602596664742,0.004487161726727198,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.8812051592032005,1.48,0.38,0.03930791485695722,0.6576093065034891,0.0
hamilton2002+kalidas2017,4961,984.1264315356856,21687.5,0.0,12.961234121883372,147.16666666666666,0.0,11.534832451499119,11.632716049382717,10.837081128747796,0.4738756613756614,0.9377539976344655,0.9559142444346287,0.04408575556537116,0.01611323791464106,0.00427815315199363,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.8820108283794079,1.48,0.395,0.04086269971301813,0.505796401727019,0.0
hamilton2002+koka2022+Kubios,5382,943.3593069088201,21251.166666666668,0.0,11.770403113343717,145.5,0.0,11.534832451499119,11.56492504409171,10.601410934744267,0.6514550264550265,0.916066088292818,0.9390082481174055,0.060991751882594675,0.004328572289684869,0.004587514735664122,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.8822523948077102,1.49,0.395,0.03626323279774566,0.4949747468305833,0.0
hamilton2002+koka2022,5330,951.6869351587962,21251.166666666668,0.0,11.792122520826634,145.5,0.0,11.534832451499119,11.572641093474427,10.66765873015873,0.6343694885361552,0.9221307574084716,0.9408552482463517,0.059144751753648375,0.0042049977140029655,0.004393939383894344,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.8825908516612961,1.49,0.395,0.037496756614703294,0.4808326112068523,0.0
hamilton2002+martinez2004+Kubios,511,1496.163227975994,49310.42857142857,0.0,14.071268254723417,197.28571428571428,0.0,11.534832451499119,3.6560846560846563,2.5047398589065257,0.8953924162257496,0.21912223646204226,0.5043788075534108,0.21442630708503727,0.0015776304810682898,0.0013646761817854818,0.6391087690821396,1.49,0.0,0.025966031883559115,0.5140330728659392,0.0,0.4778632048058341,1.49,0.0,0.02647476081391413,0.6858935777509511,0.0
hamilton2002+martinez2004,395,1807.3670398524698,49651.125,0.0,16.899590725936594,197.28571428571428,0.0,11.534832451499119,3.634149029982363,2.4991181657848323,0.8932980599647267,0.2187817885160353,0.5042873872404295,0.2145177273980184,0.001488475651053774,0.001263821448212605,0.6391087690821396,1.49,0.0,0.025966031883559115,0.5140330728659392,0.0,0.4800258031857716,1.49,0.0,0.027335327995080743,0.6858935777509511,0.0
hamilton2002+nabian2018+Kubios,3354,815.5270468665448,15240.57142857143,0.0,9.632147863475922,123.42857142857144,0.0,11.534832451499119,10.817901234567902,10.479276895943563,0.10229276895943562,0.9104092419481711,0.9883021795224176,0.011697820477582383,0.007405574230921732,0.004504307441142357,0.8811689273220868,1.49,0.395,0.036839393562929965,0.5140330728659392,0.0,0.8828499163563809,1.49,0.4315,0.03589797334330067,0.4808326112068523,0.0
