Name,Exact Matches #,Mean MSE,Max MSE,Min MSE,Mean MAE,Max MAE,Min MAE,Mean Correct R #,Mean Detected R #,Mean TP,Mean FP,Mean Performance,Mean Acc,Mean Err,Mean mean_deviation,Mean std_deviation,Mean mean_ref_ibi,Max mean_ref_ibi,Min mean_ref_ibi,Mean std_ref_ibi,Max std_ref_ibi,Min std_ref_ibi,Mean mean_test_ibi,Max mean_test_ibi,Min mean_test_ibi,Mean std_test_ibi,Max std_test_ibi,Min std_test_ibi
pantompkins1985+kalidas2017,299,894.2889598607408,14442.875,0.1,13.070750606071904,120.125,0.1,12.666666666666666,12.761666666666667,11.87,0.49833333333333335,0.935196356040204,0.9565825740593542,0.043417425940645744,0.014546932314272664,0.004685844986406615,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.8211338684402574,1.47,0.3860869565217391,0.05872362356744129,0.3960880133072879,0.0
pantompkins1985+koka2022+Kubios,331,908.2560331125408,14864.125,0.0,12.6430309492399,121.875,0.0,12.666666666666666,12.763333333333334,11.6,0.5583333333333333,0.9134539504663876,0.9494900028162412,0.05050999718375879,0.0058904123511855176,0.004707960389516338,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.8228084916975649,1.47,0.3873913043478261,0.058001663584965314,0.4172614801981401,0.0
pantompkins1985+koka2022,332,927.9715042797047,14864.125,0.0,12.768515889438945,121.875,0.0,12.666666666666666,12.773333333333333,11.721666666666666,0.5383333333333333,0.9232698971482269,0.9517546379632293,0.0482453620367707,0.005840023524892954,0.004569383317070092,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.822680426761503,1.47,0.3978260869565218,0.05760717387278613,0.4172614801981401,0.0
pantompkins1985+martinez2004+Kubios,7,0.8216117216117217,4.0,0.0,0.3454212454212454,0.6666666666666666,0.0,12.666666666666666,1.525,1.3916666666666666,0.09333333333333334,0.12009595270427312,0.4515277777777777,0.045138888888888895,0.002111129160694374,0.0009600557931235745,0.4215396262662757,1.3071428571428572,0.0,0.02984975814859188,0.4019506010871059,0.0,0.22598277844350162,1.43,0.0,0.01376618699355717,0.6222539674441617,0.0
pantompkins1985+martinez2004,5,555.6748717948718,2777.4,0.0,7.5948717948717945,37.0,0.0,12.666666666666666,1.5133333333333334,1.39,0.09333333333333334,0.11991665977498021,0.4515277777777777,0.045138888888888895,0.00210684011640533,0.0009532382644731248,0.4215396262662757,1.3071428571428572,0.0,0.02984975814859188,0.4019506010871059,0.0,0.22609758971978422,1.43,0.0,0.014278854076228097,0.6222539674441617,0.0
pantompkins1985+nabian2018+Kubios,194,908.5429620990492,17938.85714285714,0.0,10.686130113737757,121.14285714285714,0.0,12.666666666666666,11.741666666666667,11.263333333333334,0.055,0.8977830299748245,0.9926818783068783,0.007318121693121693,0.007320175316037195,0.004748446723980551,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.8262984681975715,1.47,0.4514999999999999,0.05793338811101722,0.4132728450363566,0.0
pantompkins1985+nabian2018,192,942.2420359584077,17938.85714285714,0.0,10.891187775918937,121.14285714285714,0.0,12.666666666666666,11.756666666666666,11.391666666666667,0.056666666666666664,0.908530377262613,0.9927281746031746,0.0072718253968253955,0.007112779692740068,0.004534460512021313,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.8272494797047101,1.47,0.4514999999999999,0.05934289371921728,0.4132728450363566,0.0
pantompkins1985+Neurokit+Kubios,369,619.7794055724453,14864.125,0.0,8.54080406983513,121.875,0.0,12.666666666666666,12.465,12.011666666666667,0.043333333333333335,0.9487684397576178,0.9944991830065358,0.005500816993464051,0.0058668385418649315,0.004672168759087889,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.8199334237151944,1.47,0.3978260869565218,0.05508334664103368,0.4016728412882447,0.0
pantompkins1985+Neurokit,366,624.7602749704612,14864.125,0.0,8.429827304646496,121.875,0.0,12.666666666666666,12.465,12.158333333333333,0.043333333333333335,0.9605018056120365,0.9944991830065358,0.005500816993464051,0.005784830964857758,0.0045139709809343355,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.8191860602296855,1.47,0.3978260869565218,0.0547702761680649,0.4132728450363566,0.0
pantompkins1985+pantompkins1985+Kubios,285,507.8545420979893,14085.0,8.466666666666667,11.821865270665581,118.5,1.6153846153846154,12.666666666666666,13.013333333333334,3.575,3.9033333333333333,0.2774017518144565,0.5228844865646336,0.47711551343536635,0.024289148528883916,0.006484306089776774,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.8743883861577891,1.48,0.3375,0.09464771965231542,0.5586143571373726,0.0
pantompkins1985+pantompkins1985,284,498.44182511555283,14085.0,9.615384615384617,11.630888638580203,118.5,1.6153846153846154,12.666666666666666,13.006666666666666,3.5633333333333335,3.8666666666666667,0.27639669833537056,0.520987096917244,0.47901290308275607,0.024073360673406034,0.006228638156251823,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.8714234213945459,1.48,0.3375,0.10394597828499702,0.5586143571373726,0.0
pantompkins1985+promac+Kubios,383,267.0033869525134,9570.0,0.1538461538461538,4.6148998420086365,97.8,0.1538461538461538,12.666666666666666,13.001666666666667,12.195,0.365,0.9626745603662809,0.9686498714062569,0.031350128593743136,0.01131099198387942,0.0055401155264181365,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.8231740900105846,1.47,0.3970833333333334,0.059630725233962865,0.565685424949238,0.0
pantompkins1985+promac+Kubios_optimized,424,239.12801066025503,10912.444444444443,0.0,3.5022925021109494,104.44444444444444,0.0,12.666666666666666,12.938333333333333,12.258333333333333,0.27666666666666667,0.967764652071658,0.9766217226759022,0.023378277324097755,0.0057773408586534875,0.004563953354096692,0.8191309464998348,1.47,0.3630434782608695,0.054983321635746166,0.4019506010871059,0.0,0.8223609406261626,1.47,0.3979166666666667,0.055157924063086734,0.4001874560752748,0.0
